component,layer,head,contribution
tok_embed,-1,-1,0.10107086598873138
pos_embed,-1,-1,0.012088041752576828
layer_0.head_0,0,0,-0.009974136017262936
layer_0.head_1,0,1,-0.024356262758374214
layer_0.head_2,0,2,0.003867863677442074
layer_0.head_3,0,3,-0.012410350143909454
layer_0.head_4,0,4,-0.015213984996080399
layer_0.head_5,0,5,-0.01421340275555849
layer_0.head_6,0,6,0.016124121844768524
layer_0.head_7,0,7,-0.01574799418449402
layer_0.head_8,0,8,-0.013133712112903595
layer_0.head_9,0,9,0.017032310366630554
layer_0.head_10,0,10,0.016017112880945206
layer_0.head_11,0,11,0.0028023268096148968
layer_0.attn_bias,-1,-1,0.005631009116768837
layer_0.mlp,-1,-1,3.882606267929077
layer_1.head_0,1,0,-0.01222595851868391
layer_1.head_1,1,1,0.015644872561097145
layer_1.head_2,1,2,0.02857142686843872
layer_1.head_3,1,3,0.028458040207624435
layer_1.head_4,1,4,0.051973722875118256
layer_1.head_5,1,5,0.09197472780942917
layer_1.head_6,1,6,-0.022812344133853912
layer_1.head_7,1,7,0.07961321622133255
layer_1.head_8,1,8,-0.010823135264217854
layer_1.head_9,1,9,-0.03508100286126137
layer_1.head_10,1,10,0.04834800213575363
layer_1.head_11,1,11,-0.023342885076999664
layer_1.attn_bias,-1,-1,0.002497997134923935
layer_1.mlp,-1,-1,-0.20360815525054932
layer_2.head_0,2,0,-0.031238358467817307
layer_2.head_1,2,1,-0.03280961513519287
layer_2.head_2,2,2,0.016074974089860916
layer_2.head_3,2,3,-0.027355335652828217
layer_2.head_4,2,4,-0.025598883628845215
layer_2.head_5,2,5,0.01690020225942135
layer_2.head_6,2,6,-0.03551831841468811
layer_2.head_7,2,7,0.01099447626620531
layer_2.head_8,2,8,-0.016699740663170815
layer_2.head_9,2,9,0.011641287244856358
layer_2.head_10,2,10,-0.01485498622059822
layer_2.head_11,2,11,0.02825971506536007
layer_2.attn_bias,-1,-1,0.025331418961286545
layer_2.mlp,-1,-1,0.28508448600769043
layer_3.head_0,3,0,0.0151812843978405
layer_3.head_1,3,1,-0.010802537202835083
layer_3.head_2,3,2,0.015809783712029457
layer_3.head_3,3,3,0.009513825178146362
layer_3.head_4,3,4,-0.0009532738476991653
layer_3.head_5,3,5,-0.009782429784536362
layer_3.head_6,3,6,-0.014016527682542801
layer_3.head_7,3,7,-0.006815459579229355
layer_3.head_8,3,8,0.04872159659862518
layer_3.head_9,3,9,-0.020067647099494934
layer_3.head_10,3,10,-0.003081969451159239
layer_3.head_11,3,11,-0.005703251343220472
layer_3.attn_bias,-1,-1,0.01503770612180233
layer_3.mlp,-1,-1,0.1189693957567215
layer_4.head_0,4,0,-0.016145046800374985
layer_4.head_1,4,1,-0.0031024792697280645
layer_4.head_2,4,2,-0.002417834708467126
layer_4.head_3,4,3,-0.0040485309436917305
layer_4.head_4,4,4,0.0046052029356360435
layer_4.head_5,4,5,-0.01804278790950775
layer_4.head_6,4,6,-0.0052804541774094105
layer_4.head_7,4,7,-0.007324022240936756
layer_4.head_8,4,8,-0.007381168659776449
layer_4.head_9,4,9,-0.001026302925311029
layer_4.head_10,4,10,0.012672447599470615
layer_4.head_11,4,11,0.0013327018823474646
layer_4.attn_bias,-1,-1,-0.0044076526537537575
layer_4.mlp,-1,-1,0.07052101194858551
layer_5.head_0,5,0,0.039106760174036026
layer_5.head_1,5,1,0.0291841272264719
layer_5.head_2,5,2,0.0037141828797757626
layer_5.head_3,5,3,-0.011062809266149998
layer_5.head_4,5,4,0.008767902851104736
