component,layer,head,token_id,token_text,logit_boost
layer_0.head_0,0,0,43317,naires,0.010436877608299255
layer_0.head_0,0,0,41944,uala,0.009754997678101063
layer_0.head_0,0,0,27870,anan,0.007534201256930828
layer_0.head_0,0,0,49267, Pwr,0.006922212429344654
layer_0.head_0,0,0,37156, Chero,0.00619906559586525
layer_0.head_1,0,1,24631,ndra,0.05539610981941223
layer_0.head_1,0,1,42319, RSA,0.0474865660071373
layer_0.head_1,0,1,39934,unia,0.04651334509253502
layer_0.head_1,0,1,12769,rin,0.04522261396050453
layer_0.head_1,0,1,19928, GRE,0.04453396052122116
layer_0.head_2,0,2,49638,agents,0.02610331028699875
layer_0.head_2,0,2,17620,channel,0.025611817836761475
layer_0.head_2,0,2,31370,oji,0.02499910444021225
layer_0.head_2,0,2,48649,benefit,0.02459636703133583
layer_0.head_2,0,2,31994,omics,0.023795906454324722
layer_0.head_3,0,3,25444,oshop,0.032837796956300735
layer_0.head_3,0,3,1197,thing,0.029952578246593475
layer_0.head_3,0,3,35346,odder,0.028076916933059692
layer_0.head_3,0,3,31538,actionDate,0.025657428428530693
layer_0.head_3,0,3,36341,slave,0.02542050927877426
layer_0.head_4,0,4,47384,Measure,0.013157575391232967
layer_0.head_4,0,4,12576,IAL,0.012333367019891739
layer_0.head_4,0,4,34919,Motor,0.010626276955008507
layer_0.head_4,0,4,14326,MW,0.010423421859741211
layer_0.head_4,0,4,1927,ially,0.010324317961931229
layer_0.head_5,0,5,41559, Guinness,0.012703272514045238
layer_0.head_5,0,5,38308, Ecc,0.0125094810500741
layer_0.head_5,0,5,22673, Kun,0.010563318617641926
layer_0.head_5,0,5,28220, PST,0.009630212560296059
layer_0.head_5,0,5,32447, Tolkien,0.009080188348889351
layer_0.head_6,0,6,38182,alm,0.05494602024555206
layer_0.head_6,0,6,16100,retty,0.05219081789255142
layer_0.head_6,0,6,31387,ftime,0.0499231293797493
layer_0.head_6,0,6,4604,lig,0.049688324332237244
layer_0.head_6,0,6,12392,rator,0.04889870062470436
layer_0.head_7,0,7,47447, Zeit,0.00821236614137888
layer_0.head_7,0,7,50179,artifacts,0.007441866211593151
layer_0.head_7,0,7,18803,士,0.006054660305380821
layer_0.head_7,0,7,31885, Authent,0.00601541344076395
layer_0.head_7,0,7,33957, Picks,0.005714578554034233
layer_0.head_8,0,8,11805,��,0.034724485129117966
layer_0.head_8,0,8,31576,externalActionCode,0.02738293632864952
layer_0.head_8,0,8,2731,uel,0.02558816410601139
layer_0.head_8,0,8,47149,ADS,0.023896239697933197
layer_0.head_8,0,8,18081,Health,0.02386685460805893
layer_0.head_9,0,9,21646,gotten,0.04872864484786987
layer_0.head_9,0,9,28832, Awakening,0.04780351370573044
layer_0.head_9,0,9,31387,ftime,0.047213226556777954
layer_0.head_9,0,9,17534,ABLE,0.04663902148604393
layer_0.head_9,0,9,31424,kefeller,0.046218156814575195
layer_0.head_10,0,10,21107,rez,0.12270098179578781
layer_0.head_10,0,10,18115,izoph,0.10794005542993546
layer_0.head_10,0,10,38250, Skydragon,0.10789521783590317
layer_0.head_10,0,10,37357,rush,0.10748313367366791
layer_0.head_10,0,10,36455,sei,0.10741855949163437
layer_0.head_11,0,11,8497,hesis,0.024861900135874748
layer_0.head_11,0,11,5165,oving,0.022996526211500168
layer_0.head_11,0,11,12514,elta,0.022494863718748093
layer_0.head_11,0,11,37671, reconnect,0.02149428054690361
layer_0.head_11,0,11,21485,hetical,0.021482257172465324
layer_0.mlp,0,-1,17773, skelet,7.946841716766357
layer_0.mlp,0,-1,11641,aeda,7.876016616821289
layer_0.mlp,0,-1,39666,yip,7.61209774017334
layer_0.mlp,0,-1,41230,govtrack,7.534549713134766
layer_0.mlp,0,-1,3239,ovember,7.533847808837891
layer_1.head_0,1,0,39666,yip,0.08196742832660675
layer_1.head_0,1,0,6166, explan,0.06584742665290833
layer_1.head_0,1,0,5843,uters,0.06338941305875778
layer_1.head_0,1,0,10269,umbn,0.06292791664600372
layer_1.head_0,1,0,20473,imon,0.06261024624109268
layer_1.head_1,1,1,39269, Plants,0.10918904095888138
layer_1.head_1,1,1,11205,oft,0.10313355177640915
layer_1.head_1,1,1,28500,Initialized,0.10232346504926682
layer_1.head_1,1,1,30213, externalToEVAOnly,0.09879539906978607
layer_1.head_1,1,1,31783, BaseType,0.08981968462467194
layer_1.head_2,1,2,22903,okia,0.13854749500751495
layer_1.head_2,1,2,13508,lies,0.13765479624271393
layer_1.head_2,1,2,654,ings,0.13413041830062866
layer_1.head_2,1,2,8448,ses,0.1289135068655014
layer_1.head_2,1,2,39737,quished,0.1286923736333847
layer_1.head_3,1,3,43660,bernatorial,0.10121453553438187
layer_1.head_3,1,3,15260, Brady,0.09834422916173935
layer_1.head_3,1,3,47209, Bastard,0.09662298858165741
layer_1.head_3,1,3,16881,atinum,0.0958472341299057
layer_1.head_3,1,3,38137, Maher,0.09532112628221512
layer_1.head_4,1,4,43408,tymology,0.16714155673980713
layer_1.head_4,1,4,13732, Nig,0.14609183371067047
layer_1.head_4,1,4,26235, defaults,0.14461259543895721
layer_1.head_4,1,4,44733, Bits,0.1408044993877411
layer_1.head_4,1,4,42424,DragonMagazine,0.14026936888694763
layer_1.head_5,1,5,43427, Eps,0.20095615088939667
layer_1.head_5,1,5,36988, Bust,0.19062849879264832
layer_1.head_5,1,5,36202, Dir,0.18549910187721252
layer_1.head_5,1,5,46892, Chong,0.18531927466392517
layer_1.head_5,1,5,3944, Bel,0.1827644258737564
layer_1.head_6,1,6,28153,eer,0.10557645559310913
layer_1.head_6,1,6,49782,geist,0.10136726498603821
layer_1.head_6,1,6,1260,erest,0.09279967099428177
layer_1.head_6,1,6,2715,ctor,0.08914202451705933
layer_1.head_6,1,6,23996,arten,0.08736041188240051
layer_1.head_7,1,7,47958, Whitman,0.21291185915470123
layer_1.head_7,1,7,45263, Ambrose,0.20227022469043732
layer_1.head_7,1,7,15755, millenn,0.19110454618930817
layer_1.head_7,1,7,45268,enser,0.1901272088289261
